taz_key,county,district,neighborhood,Shape_Length,Shape_Area
425,scl,Sunnyvale,Sunnyvale Square,3777.045913,673740.0214
426,scl,Sunnyvale,CalTrain N,6102.637682,1311934.02
427,scl,Sunnyvale,CalTrain NW,8051.069495,2973817.283
428,scl,Sunnyvale,CalTrain NE,6132.481943,1753240.202
429,scl,Santa Clara,Oakmead Village Dr,5684.220845,1535106.856
430,scl,Santa Clara,Scott and San Tomas,7366.320439,2232525.348
431,scl,Santa Clara,Walsch Av W,5292.627069,1247557.534
432,scl,Santa Clara,Walsch Av E,8858.848879,3306283.024
433,scl,Santa Clara,Rotary Pk,5268.510452,954170.7301
434,scl,San Jose Civic Center,Airport,10597.89154,4932634.147
435,scl,San Jose Civic Center,Gish Station,6644.532245,2049732.01
436,scl,Santa Clara,Carli Pk,5317.975487,1374459.964
437,scl,Santa Clara,Warburton Pk,4301.495845,1074206.194
438,scl,Santa Clara,Bowers Pk,5608.334031,1424258.257
439,scl,Santa Clara,Central Park,4388.759232,1075165.229
440,scl,Santa Clara,Santa Clara HS,5306.982144,1397532.093
441,scl,Santa Clara,Koreatown SE,4857.247242,1215179.981
442,scl,Santa Clara,Wilcox HS,4824.93059,990946.8667
443,scl,Santa Clara,Lawrence CalTrain,5097.425631,924438.9076
444,scl,Santa Clara,Koreatown NE,5311.278409,1538396.123
445,scl,Sunnyvale,Koreatown NW,5561.062907,1426880.556
446,scl,Sunnyvale,CalTrain SW,5969.108793,1461351.775
447,scl,Sunnyvale,Ponderosa Pk,4985.250711,1159962.001
448,scl,Sunnyvale,Gavello Glen,5542.658851,1251524.353
449,scl,Sunnyvale,Stratford Gardens,5839.559632,1454656.461
450,scl,Sunnyvale,Downtown,4778.307629,1320033.605
451,scl,Sunnyvale,Las Palmas Pk,5593.117914,1883323.867
452,scl,Sunnyvale,Fremont HS,4826.682866,1272785.177
453,scl,Sunnyvale,De Anza Pk,6997.68921,2493142.921
454,scl,Sunnyvale,The Dalles W,5770.088068,1996502.491
455,scl,Sunnyvale,The Dalles E,4865.432926,1245852.494
456,scl,Sunnyvale,Alberta Av,4900.168814,1307850.883
457,scl,Sunnyvale,Ortega Pk,6246.227569,1573379.132
458,scl,Sunnyvale,Panama Pk,4744.869526,1016865.661
459,scl,Sunnyvale,Koreatown SW,6584.348407,2605195.439
460,scl,Cupertino,Apple 2,6777.17505,2688696.293
461,scl,Santa Clara,Homeridge Pk,5493.702178,1502283.394
462,scl,Santa Clara,Maywood Park,5510.714084,1546650.549
463,scl,Santa Clara,Prineridge and Tanoak,5053.097393,1135959.321
464,scl,Santa Clara,Pruneridge Golf Club,5643.035098,1326757.116
465,scl,Santa Clara,Prineridge and Los Padres,6582.130815,2134704.798
466,scl,Santa Clara,Cory and Valley Fair Mall,6659.186031,1678665.885
467,scl,Southwest San Jose,Santana Row,4778.062992,1329685.367
468,scl,Campbell,Castlemont E,5328.96178,1449829.337
469,scl,Southwest San Jose,Castlemont SW,3873.332812,857181.4058
470,scl,Southwest San Jose,Lynhaven and Hamman Park,5914.230632,2026805.795
471,scl,Southwest San Jose,Cypress and North Lake,5517.579409,1487455.744
472,scl,Southwest San Jose,Blackford,4160.856737,1092314.606
473,scl,Southwest San Jose,Eden,4554.06817,1092428.18
474,scl,Southwest San Jose,Payne School,4186.807276,1006476.107
475,scl,Southwest San Jose,Westgate Ctr,5152.127874,1573677.449
476,scl,Southwest San Jose,Rogers and Country Lane,7207.910336,2468873.501
477,scl,Southwest San Jose,Strawberry Park,5973.809204,1827321.629
478,scl,Southwest San Jose,Villa Center,5267.391957,1100295.119
479,scl,Cupertino,Calvert,6190.859599,2241259.497
480,scl,Cupertino,Lynbrook HS,5129.866912,1322361.301
481,scl,Cupertino,Orchard Farms,5447.220217,1510879.094
482,scl,Cupertino,Alderbrook Ln,5343.818278,1423465.902
483,scl,Cupertino,Calabazas Pk,5474.392647,1451468.617
484,scl,Cupertino,Creekside Park,6031.985458,2286395.346
485,scl,Cupertino,Apple 1,6527.192255,2605240.199
486,scl,Cupertino,Memorial Park,5562.074606,1897269.989
487,scl,Cupertino,Homestead,10838.28705,2085934.588
488,scl,Cupertino,Stevens Creek and Foothill,14047.37755,6591224.049
489,scl,Cupertino,Monte Vista HS,13840.2722,7974410.497
490,scl,Cupertino,De Anza College,10311.99075,2653042.615
491,scl,Cupertino,Jollyman Pk,4896.970195,996427.0899
492,scl,Cupertino,De Anza Shopping Ctr,5456.053951,1704359.806
493,scl,Gatos Sereno Saratoga,Saratoga Ctr,8476.720766,3234050.158
494,scl,Gatos Sereno Saratoga,Saratoga HS,8847.448526,3701887.827
495,scl,Gatos Sereno Saratoga,Pierce and Mount Eden,19932.38311,13836452.6
496,scl,Gatos Sereno Saratoga,Downtown Saratoga,16856.1542,11957686.46
497,scl,Gatos Sereno Saratoga,W Valley College,11801.45486,8454500.847
498,scl,Gatos Sereno Saratoga,Prospect HS,8904.665448,2339523.491
499,scl,Southwest San Jose,Westmont N,9242.387683,2452741.739
500,scl,Campbell,Westmont S,5411.499837,1591114.698
501,scl,Campbell,San Tomas Pk,4706.4011,1301561.29
502,scl,Southwest San Jose,San Tomas Plaza,4574.282012,1201490.193
503,scl,Campbell,Downtown Campbell W,5988.21613,1768680.214
504,scl,Campbell,Downtown Campbell E,10823.03633,2982097.076
505,scl,Campbell,W Sunnyoaks Av,5714.537591,1670062.12
506,scl,Campbell,Capri,5447.624644,1338463.216
507,scl,Gatos Sereno Saratoga,La Rinconada,9639.869088,3429458.146
508,scl,Gatos Sereno Saratoga,Los Gatos Creek,8558.595322,1614500.221
509,scl,Gatos Sereno Saratoga,Vasona,10343.16427,1947487.632
510,scl,Gatos Sereno Saratoga,Monte Sereno,12272.05965,3137950.331
511,scl,Gatos Sereno Saratoga,Los Gatos,21593.6144,11894465.42
512,scl,Outer Santa Clara Country,Lexington Hills,68664.1569,140343011.3
513,scl,Gatos Sereno Saratoga,Worcester Pk,22354.85663,13654336.73
514,scl,Gatos Sereno Saratoga,Belgatos Pk,15518.02105,9374016.98
515,scl,Cambrian,Cambrian,6182.919791,2310892.723
516,scl,Cambrian,Blossom,6347.419292,1540834.421
517,scl,Cambrian,Los Gatos Cemetery,7450.057976,2065991.624
518,scl,Gatos Sereno Saratoga,Blossom Hill,8427.235167,2944486.726
519,scl,Cambrian,Cambrian Pk W,7974.788411,3043123.234
520,scl,Cambrian,Cambrian Pk E,5481.131653,1707957.96
521,scl,Cambrian,Vizcaya,6013.700858,1737124.196
522,scl,Cambrian,Curtner and New Jersey,6489.269838,1908161.389
523,scl,Cambrian,Curtner and Dumbarton,7404.078373,2626870.633
524,scl,Cambrian,Curtner and Briarwood,6066.376623,1881763.874
525,scl,Southern Central San Jose,Cottle and Hustead,6521.957092,1728068.076
526,scl,Southern Central San Jose,Willow Glen HS,7141.097861,2495246.453
527,scl,Southern Central San Jose,Willow Glen E,8231.407534,2761181.871
528,scl,Southwest San Jose,Willow Glen W,6276.008446,1898018.55
529,scl,Southwest San Jose,Meridian Post Office,5426.479144,1412942.929
530,scl,Campbell,Pruneyard Plaza,9529.955081,2578689.609
531,scl,Southwest San Jose,Hamilton Place,5458.470748,1126379.928
532,scl,Southwest San Jose,Del Marietta-Southwest,5429.066521,989859.911
533,scl,Southwest San Jose,San Jose City College,6119.039981,1813451.638
534,scl,Southwest San Jose,Fruitdale,6469.672439,1934540.137
535,scl,Diridon Area and Burbank,Burbank,5401.670828,1328434.729
536,scl,Diridon Area and Burbank,Buena Vista,4804.540595,885332.7964
537,scl,Diridon Area and Burbank,Race,5892.661103,1641059.575
538,scl,Diridon Area and Burbank,Diridon Station,3396.963322,672334.1108
539,scl,San Jose Civic Center,San Jose Market Center,7033.655863,2078559.719
540,scl,Diridon Area and Burbank,Garden Alameda,5343.819996,1341568.952
541,scl,Diridon Area and Burbank,San Jose Rose Garden,6862.247465,2141253.878
542,scl,Diridon Area and Burbank,College Park,4089.132629,1012519.317
543,scl,Santa Clara,Santa Clara University,6423.888346,1483005.2
544,scl,Santa Clara,Downtown SW,7799.033006,1606840.289
545,scl,Santa Clara,Downtown NE,5528.855414,960349.3002
546,scl,San Jose Civic Center,Civic Center,7022.586134,1879962.536
547,scl,San Jose Civic Center,East Northside,6100.873154,1953401.276
548,scl,San Jose Civic Center,Japantown,6742.209354,1884429.579
549,scl,Central San Jose,Saint James,3615.964472,802211.0382
550,scl,Central San Jose,Julian,3785.046025,830782.575
551,scl,Central San Jose,Five Wounds,5631.131614,1558861.761
552,scl,Southern Central San Jose,San Jose Mobile Homes,3252.214692,617823.836
553,scl,Southern Central San Jose,Olinder,4344.374386,869279.593
554,scl,Central San Jose,Naglee Park,3506.788179,746684.0185
555,scl,Southern Central San Jose,Naglee Park S,4853.757561,1217579.203
556,scl,Central San Jose,San Jose State South,2065.826373,240896.2491
557,scl,Central San Jose,San Fernando and 2nd/San Jose State,3930.541931,721903.5897
558,scl,Central San Jose,Core and San Fernando Station,6953.574448,1652563.368
559,scl,Southern Central San Jose,Virgina Station,5222.590772,1532181.639
560,scl,Southern Central San Jose,Convention Center,4606.302039,1019487.884
561,scl,Southern Central San Jose,Spartan Stadium,4377.126048,1132918.386
562,scl,Southern Central San Jose,Tamien Station,3372.904933,692564.5707
563,scl,Southern Central San Jose,Monterey and Phelan,12576.75714,6434896.716
564,scl,San Jose S,Canoas,6444.946782,2271608.1
565,scl,San Jose S,Waterford Pk,5171.869678,1226715.041
566,scl,San Jose S,Communications Hill,9774.609348,4453288.08
567,scl,Southeast San Jose,Cramer-Umbarger,5370.351963,1784179.515
568,scl,Southeast San Jose,Capitol and Monterey NE,4983.296379,1414064.55
569,scl,Southeast San Jose,Seven Trees N,3566.831275,601584.1093
570,scl,Southeast San Jose,Seven Trees S,3298.243946,585969.0673
571,scl,Southeast San Jose,Melody,5183.856259,1205154.439
572,scl,Southeast San Jose,Hellyer,5547.293976,1583423.165
573,scl,Southeast San Jose,Ramblewood,5772.538819,1331107.621
574,scl,Southeast San Jose,Hermes,5933.398894,1098850.78
575,scl,Southern Central San Jose,Los Lagos,7037.547652,1684563.553
576,scl,Southern Central San Jose,Stonegate E,4256.669025,1075299.422
577,scl,Southern Central San Jose,Kilchoan Wy,4677.43904,928667.7754
578,scl,Southern Central San Jose,Summerside,5801.255816,1066410.38
579,scl,Southern Central San Jose,Kelley Pk,6167.045259,1777184.211
580,scl,Southern Central San Jose,Santee Dr,4369.325285,801952.5587
581,scl,San Jose Wilbur Tropicana Overfelt,Tampa Wy,6785.296959,839984.5684
582,scl,Eastridge Evergreen,Alvin Av,5662.16578,1445778.746
583,scl,Eastridge Evergreen,Eastridge Mall,6519.825268,2324118.553
584,scl,San Jose Wilbur Tropicana Overfelt,Reid-Hillview Airport,5939.541159,1666678.274
585,scl,San Jose Wilbur Tropicana Overfelt,Dorsa W,4397.139076,749495.8313
586,scl,San Jose Wilbur Tropicana Overfelt,Dorsa E,5038.594444,1120950.892
587,scl,San Jose Wilbur Tropicana Overfelt,Hillview,3096.904891,388331.083
588,scl,San Jose Wilbur Tropicana Overfelt,Cassell,4136.63128,999322.7339
589,scl,San Jose Wilbur Tropicana Overfelt,Lombard,4390.945215,1037391.764
590,scl,San Jose Wilbur Tropicana Overfelt,Cinderella Ln,3779.023723,672120.8055
591,scl,San Jose Wilbur Tropicana Overfelt,Mayfair,4975.297954,1544111.171
592,scl,San Jose Wilbur Tropicana Overfelt,Thunderbird Suenos,5038.382661,1195846.644
593,scl,Berryessa,Las Plumas W,5462.234371,1344343.613
594,scl,Berryessa,Plata Arroyo,3480.651942,753032.0526
595,scl,Berryessa,Regional Med Ctr,4327.825925,1137753.234
596,scl,Berryessa,Overfelt Gardens,4487.531967,1216046.965
597,scl,Berryessa,Las Plumas E,3891.495751,884481.6347
598,scl,Berryessa,BART,6591.215004,2070697.984
599,scl,Berryessa,Flickinger,5009.045934,1109800.352
600,scl,Berryessa,Vinci,4946.709594,1146352.523
601,scl,Berryessa,"Carmine, Townsend and Notting Hill",6285.902587,2175276.733
602,scl,Berryessa,Mobile Homes,5919.998301,1472470.973
603,scl,Berryessa,Gish,6008.091789,1591084.674
604,scl,Berryessa,Casa Del Lago,6167.915678,1294110.832
605,scl,Berryessa,McKay to Cropley Station,9147.800882,4505950.826
606,scl,Milpitas,South Main Street,6563.591257,2003118.07
607,scl,Milpitas,Great Mall,8054.481065,2658778.513
608,scl,Milpitas,Kaiser,8038.881565,3334516.121
609,scl,Milpitas,Town Square,5456.894711,1728675.317
610,scl,Milpitas,Beresford,3707.352245,633764.8219
611,scl,Milpitas,Marylinn,6353.610239,1793212.469
612,scl,Milpitas,Dixon Landing,6174.851052,1811095.113
613,scl,Milpitas,Sunnyhills,4162.781407,866627.0336
614,scl,Milpitas,HS,6070.088913,1593495.141
615,scl,Milpitas,Ed Levin Pk,20189.54852,17002767.2
616,scl,Milpitas,Cardoza Pk,5497.960278,1028332.881
617,scl,Milpitas,Foothill Pk,4220.850579,1037297.727
618,scl,Milpitas,Unidas Ranch,15620.16949,9118750.001
619,scl,Milpitas,Murphy Pk,5268.939561,1206200.974
620,scl,Milpitas,Sinnott Pk,4736.389042,1124394.569
621,scl,San Jose Eastside,Northwood,4793.630641,1110711.479
622,scl,San Jose Eastside,Old Piedmont N,4899.035931,1365344.293
623,scl,San Jose Eastside,Old Piedmont S,6114.95992,1616950.31
624,scl,San Jose Eastside,Cataldi Pk,3785.340114,936507.5886
625,scl,San Jose Eastside,Berryessa and Hostetter Stations,5588.262424,1476026.598
626,scl,San Jose Eastside,Pinnacle,6007.251939,1443322.697
627,scl,San Jose Eastside,Penitencia Creek,6530.003561,1704044.53
628,scl,San Jose Eastside,Upper Sierra,21258.06714,18601266.61
629,scl,San Jose Eastside,E Foothills,11823.4857,3137040.125
630,scl,San Jose Eastside,Toyon,5325.741458,1673001.696
631,scl,San Jose Eastside,Penitencia Station,4652.159568,1045889.886
632,scl,San Jose Eastside,McKee Station,4981.047777,1520343.551
633,scl,San Jose Eastside,Alum Rock N,5843.863698,1948220.189
634,scl,San Jose Wilbur Tropicana Overfelt,Granite Creek,4531.444674,1139664.816
635,scl,San Jose Eastside,Alum Rock E,4454.292046,994339.8663
636,scl,San Jose Eastside,Alum Rock S,5062.737887,1343526.8
637,scl,San Jose Eastside,Alum Rock Pk,29599.19756,15396313.87
638,scl,San Jose Eastside,Mt Pleasant Pk,4055.425871,1007616.222
639,scl,San Jose Eastside,Doncaster-Warrington,4608.567401,998863.5874
640,scl,San Jose Eastside,Ocala,4200.110503,862243.0805
641,scl,San Jose Eastside,Mt Pleasant HS,5273.869209,1078132.736
642,scl,San Jose Eastside,Balcom Rd,24249.68296,15036408.55
643,scl,San Jose Eastside,Flint Av N,5709.696935,1443203.284
644,scl,Eastridge Evergreen,Lake Cunningham,5969.288928,1999598.799
645,scl,Eastridge Evergreen,Flint Av S,4414.774359,1131276.046
646,scl,Eastridge Evergreen,Remington Wy N,3916.768472,827847.2605
647,scl,Eastridge Evergreen,Quimby N,6092.531959,1613151.404
648,scl,Eastridge Evergreen,Quimby S,13687.01215,4229901.667
649,scl,Eastridge Evergreen,Remington Wy S,4914.467503,1120838.733
650,scl,Eastridge Evergreen,Evergreen N,5293.930022,1643080.414
651,scl,Southeast San Jose,Silver Creek N,5764.799997,1665061.408
652,scl,Southeast San Jose,Evergreen S,8128.200332,1453799.915
653,scl,Southeast San Jose,Evergreen Valley College,23081.42266,19036748.99
654,scl,Southeast San Jose,The Villages,15200.78437,9186958.28
655,scl,Southeast San Jose,Silver Creek S,23333.15223,15236859.79
656,scl,Southeast San Jose,Silver Creek and Hellyer,22206.64182,19737712.78
657,scl,Southeast San Jose,Sunspring S,11710.894,2778016.701
658,scl,San Jose Coyote Valley,Avenida Espanda S,9605.237346,2304232.757
659,scl,San Jose Coyote Valley,Avenida Espanda N,5113.929019,1042641.896
660,scl,San Jose Coyote Valley,Great Oaks Blvd,7861.616208,2857766.318
661,scl,San Jose Coyote Valley,Edenvale,10620.97571,3942477.205
662,scl,Southeast San Jose,La Colina Pk,5276.457535,1424192.678
663,scl,Southeast San Jose,Santa Teresa HS,5460.424218,1199491.249
664,scl,Southeast San Jose,Calero Pk,6663.65108,1800636.598
665,scl,Southeast San Jose,Miner Pk,6284.36434,1944711.532
666,scl,Southeast San Jose,Blossom Gardens,4411.300483,1026111.263
667,scl,Southeast San Jose,Oak Grove HS,3920.755027,948659.8319
668,scl,Southeast San Jose,Dear Run 2,6265.124402,1640696.117
669,scl,Southeast San Jose,Sunspring N,6371.302111,1628401.48
670,scl,Southeast San Jose,Claitor,8239.113865,2253183.105
671,scl,Southeast San Jose,The Woods,5121.391104,1051541.686
672,scl,Southeast San Jose,Vistapark and Bluefield,4576.626616,1077962.494
673,scl,Southeast San Jose,Martial Cottle Pk,5879.609191,1987841.382
674,scl,Southeast San Jose,Comanche Pk,7371.897525,2173652.247
675,scl,Southeast San Jose,Sunrise Plaza,5583.166949,1654237.403
676,scl,Cambrian,Almaden Station,7461.013091,2626991.279
677,scl,Cambrian,Oakridge Mall,7531.805103,1688129.304
678,scl,Cambrian,Gunderson HS,5535.270927,1384407.46
679,scl,Cambrian,Tatra,5100.004906,1594870.593
680,scl,Cambrian,Terrell Pk,6911.234287,2491381.118
681,scl,San Jose S,Calvary,5901.715043,1351987.888
682,scl,Cambrian,Paul Moore Pk,5946.898099,1883205.163
683,scl,Cambrian,Desin Square,4596.772353,1250845.275
684,scl,Cambrian,Branham Hills,5857.846892,2079813.676
685,scl,Cambrian,Branham HS,5029.311436,1544845.299
686,scl,Cambrian,Hammer,5487.818763,1300624.854
687,scl,Cambrian,Almaden Plaza,6661.470658,1253111.307
688,scl,Almaden Valley,Princeton Plaza,8640.728121,2818190.475
689,scl,Almaden Valley,Almaden Meadows,6158.633498,1922729.489
690,scl,Almaden Valley,Guadalupe Oak Grove Pk,7976.262002,2849830.025
691,scl,Almaden Valley,Almaden Country Club,7862.885034,2272514.317
692,scl,Almaden Valley,Glenview Serenity,6266.580071,1267333.284
693,scl,Almaden Valley,Almaden E,7408.307605,1736724.457
694,scl,Almaden Valley,Graystone,8043.364933,2454084.297
695,scl,Almaden Valley,Almaden W,29989.2532,24063031.87
696,scl,San Jose Coyote Valley,Santa Teresa Hills,49136.82635,37982001.25
697,scl,San Jose Coyote Valley,Coyote Valley,45282.66797,78008812.47
698,scl,Morgan Hill,Hill and Main,20347.50363,14856640.37
699,scl,Morgan Hill,Hill and Tenant,16452.98033,9102226.133
700,scl,Morgan Hill,Morgan Hill E,21744.50056,10906668.33
701,scl,Morgan Hill,Watsonville Rd,10753.16744,5463067.332
702,scl,Morgan Hill,Morgan Hill W,11815.54777,6346314.13
703,scl,Morgan Hill,Llagas Rd,25441.81059,16843488.42
704,scl,Outer Santa Clara Country,Mt Madona,121437.1697,264469447.6
705,scl,Gilroy,Gilroy HS,28284.41793,28158671.69
706,scl,Gilroy,Old Gilroy,63960.62774,97312642.56
707,scl,Gilroy,Downtown E,11880.26386,4113872.996
708,scl,Gilroy,Downtown W,6637.077395,2384965.371
709,scl,Gilroy,Las Animas Pk,7519.618274,2074212.936
710,scl,Gilroy,Kern Av,7328.975737,2650889.737
711,scl,Gilroy,Rancho Hills Dr,16472.90639,13593394.65
712,scl,Outer Santa Clara Country,San Martin W,40146.35847,41008279.14
713,scl,Outer Santa Clara Country,San Martin E,50256.38545,51773162.91
714,scl,Outer Santa Clara Country,Mount Hamilton,261250.4676,1515964034
715,ala,Eastern Alameda County,Larwrence Livermore and 580 Business Pk and REMAI*,132078.0772,558201726.8
716,ala,Livermore,Almond Pk,10503.59319,5017368.226
717,ala,Livermore,Jensen,8166.45898,2681724.402
718,ala,Livermore,Big Trees Pk,9567.054389,5465275.93
719,ala,Livermore,Springtown,8823.997762,3687845.445
720,ala,Eastern Alameda County,Livermore N,29123.13347,45976282.48
721,ala,Livermore,Vintage Square,9721.08507,4619565.601
722,ala,Livermore,Downtown N,6872.261657,2388245.123
723,ala,Livermore,Station and Downtown SE,10393.60573,3959209.472
724,ala,Livermore,Downtown S,8273.996506,3001744.987
725,ala,Livermore,Vineyard Av E,11313.02564,4716645.943
726,ala,Livermore,Concannon Blvd W,8996.127723,3638438.094
727,ala,Livermore,Sunset,4794.811936,1278742.303
728,ala,Livermore,Airport,16241.98898,12592231.83
729,ala,Dublin,Dublin E,22873.1905,29062530.81
730,ala,Dublin,Camp Parks,13218.74418,11400500.77
731,ala,Dublin,Dougherty Hills,6137.98957,1582290.455
732,ala,Dublin,Central Dublin,9435.450999,3172925.348
733,ala,Dublin,West Dublin BART,8291.327085,3175917.306
734,ala,Dublin,Dublin Hills,16005.34399,12526014.37
735,ala,Pleasanton,Sunol N,45414.92829,50251476.18
736,ala,Pleasanton,West of 680 and Stoneridge,17886.44408,6119187.214
737,ala,Pleasanton,Hacienda West,9351.845932,3922465.78
738,ala,Pleasanton,Paseo Santa Cruz,6348.372107,2042093.325
739,ala,Pleasanton,Downtown and Fairgrounds,11104.86884,4889603.669
740,ala,Pleasanton,Amador Valley,5994.980201,1785825.612
741,ala,Pleasanton,Sports Park,6624.374292,2111751.944
742,ala,Pleasanton,Hacienda East,13668.90944,6933151.106
743,ala,Pleasanton,Mohr Park,13195.41579,9046830.347
744,ala,Pleasanton,Pleasanton E,6484.38235,2082846.754
745,ala,Pleasanton,Vineyard Av W,16625.70066,8155509.423
746,ala,Eastern Alameda County,Sunol S,94684.92471,268885570.5
747,ala,Mission Hills,Mission Peak,16238.47398,13676897.62
748,ala,Warm Springs,Warm Springs SE,6759.198971,1597939.43
749,ala,Warm Springs,Warm Springs E,6126.825198,1673148.724
750,ala,Warm Springs,Warm Springs SW,8925.861011,3152638.815
751,ala,Warm Springs,W Industrial,73461.73314,45368516.82
752,ala,Warm Springs,E Industrial,11251.57147,6471485.522
753,ala,Mission Hills,Arroyo Agua Caliente,6766.555356,2393055.322
754,ala,Mission Hills,Mission Ohlone,18975.87017,15564528.89
755,ala,Mission Hills,Cameron Hills,9118.616476,5150294.211
756,ala,Mission Hills,Mission Valley,11103.51006,4165705.532
757,ala,Irvington,Grimmer Pk,4530.052056,782381.6654
758,ala,Irvington,Irvington SE,5251.997767,1614783.097
759,ala,Irvington,Irvington SW,6722.633948,2038375.911
760,ala,Irvington,Irvington NW,5623.337178,1555271.258
761,ala,Irvington,Irvington HS,6617.887067,2395252.247
762,ala,Fremont,Guadalupe,3798.49672,833424.7464
763,ala,Fremont,Central District E,4431.387923,1066660.514
764,ala,Fremont,Sundale,6626.331762,1937666.329
765,ala,Fremont,Mowry E,4798.375571,1300777.045
766,ala,Fremont,Mowry W,4847.763894,1255704.392
767,ala,Newark,NewPark,15209.85023,8454509.93
768,ala,Newark,Newark Waterfront,33053.4112,24910883.06
769,ala,Ardenwood,Ardenwood S,26617.25782,23444948.6
770,ala,Newark,Mayhews Landing Pk,5986.917881,2093754.899
771,ala,Newark,Lakeshore Park,7814.209945,3013929.806
772,ala,Newark,Newark W,4891.511119,1000372.439
773,ala,Newark,Newark E,6752.084116,1975153.913
774,ala,Fremont,Centerville,8239.328432,2243456.676
775,ala,Fremont,Mowry N,6482.239674,2495150.678
776,ala,Fremont,Parkmont,6877.510862,2035086.29
777,ala,Fremont,Central District W,5495.171455,1497451.729
778,ala,Fremont,BART Station and Central Park,10816.3934,5414993.374
779,ala,Fremont,Gomes Pk,7001.857888,1819427.858
780,ala,Mission Hills,Canyon Heights Dr,14047.26408,8091946.097
781,ala,Fremont,Niles Canyon,21538.91686,15197136.32
782,ala,Fremont,Niles,8620.843125,3248020.407
783,ala,Fremont,Quarry Lakes,8512.128357,3302885.978
784,ala,Fremont,Brookvale,6258.494479,1975064.331
785,ala,Fremont,Cabrillo Pk,5968.285459,1663657.294
786,ala,Fremont,Patterson Park,4707.756744,1317426.599
787,ala,Ardenwood,Crandall Creek,7087.900721,1876189.676
788,ala,Ardenwood,Ardenwood N,5444.845784,1712201.721
789,ala,Ardenwood,Harvey Park,6430.270097,1314964.51
790,ala,Union City,Accinelli Park,8557.417834,2625510.967
791,ala,Union City,Contempo Park,3326.427973,673053.3992
792,ala,Union City,Veterans Park S,4096.537142,926464.7018
793,ala,Union City,Veterans Park N,4695.632781,984981.6515
794,ala,Union City,Don Edwards,9814.452312,2464280.6
795,ala,Union City,Alvarado Park,6692.658495,1851034.225
796,ala,Union City,Union Landing,8951.129941,3531813.859
797,ala,Union City,Central Av,11967.58295,4250649.756
798,ala,Union City,Tropics MH,6318.135215,1431845.898
799,ala,Ardenwood,Northgate,6304.320704,1622746.552
800,ala,Union City,Civic Center,6981.225835,1823076.223
801,ala,Union City,Union City BART,8307.380301,3176034.58
802,ala,Union City,Downtown Union City,4808.503417,1146842.362
803,ala,Union City,Appian Way,26925.44293,27760990.6
804,ala,Hayward,Taper Park,8332.606462,2445418.374
805,ala,Hayward,Carpenter E,7139.203746,2013562.389
806,ala,Hayward,Carpenter W,13617.36383,6770658.646
807,ala,Hayward,Tennyson-Alquire,4813.528724,987697.0329
808,ala,Hayward,Palma Ceia Park,4087.723548,855445.5766
809,ala,Hayward,Mount Eden HS,5866.602141,1724309.039
810,ala,Hayward,Airport,44350.26902,49665384.26
811,ala,Hayward,Chabot,6633.076852,2582459.64
812,ala,Hayward,Southland,5496.557522,1592069.419
813,ala,Hayward,Southgate,4590.828439,1028334.908
814,ala,Hayward,Harder-Tennyson NW,4214.003113,856278.6527
815,ala,Hayward,Harder-Tennyson NE,3501.972699,632942.3243
816,ala,Hayward,Harder-Tennyson SW,4057.481869,816971.5757
817,ala,Hayward,Harder-Tennyson SE,3908.17311,850679.7642
818,ala,Hayward,Sorenson W,5483.394467,1268823.262
819,ala,Hayward,Sorenson E,5182.920227,671591.1019
820,ala,Hayward,Quarry,71301.766,58152814
821,ala,Hayward,CSU East Bay,19424.62767,4559827.795
822,ala,Hayward,Fairview S,10213.6781,4270554.324
823,ala,Hayward,Fairview W,8794.679137,3035833.029
824,ala,Hayward,Mission/Foothill,8628.894478,1988006.181
825,ala,Hayward,Jackson Traingle NE,5028.145861,1086299.471
826,ala,Hayward,Jackson Traingle SW,4137.550787,907248.6732
827,ala,Hayward,Birchfield Park,4283.541189,1024706.173
828,ala,Hayward,Burbank,5964.013176,1835417.685
829,ala,Hayward,Centennial Park,3782.157955,797756.4855
830,ala,Hayward,Longwood,4548.990663,1206242.2
831,ala,Central Alameda Unincorporated,Hayward Acres,3635.009573,638051.8515
832,ala,Central Alameda Unincorporated,McConaghy Park,6166.99682,1266502.764
833,ala,Central Alameda Unincorporated,San Lorenzo Park,5735.927037,1310533.566
834,ala,Central Alameda Unincorporated,Arroyo HS,9619.582316,2464331.99
835,ala,Central Alameda Unincorporated,San Lorenzo W,5836.145479,1336858.322
836,ala,Central Alameda Unincorporated,San Lorenzo E,7261.184949,1274367.475
837,ala,Central Alameda Unincorporated,Cherryland W,7823.380995,2086629.601
838,ala,Central Alameda Unincorporated,Cherryland E,4895.085402,1030280.54
839,ala,Hayward,Downtown,5917.204568,1329622.875
840,ala,Central Alameda Unincorporated,Grove Way W,6313.641106,1990384.76
841,ala,Hayward,Upper B Street,6921.911806,1323392.499
842,ala,Central Alameda Unincorporated,Grove Way E,5316.335515,959309.9163
843,ala,Central Alameda Unincorporated,Fairview N,8826.729772,2394416.025
844,ala,Central Alameda Unincorporated,Redwood Chabot Parks,68061.80246,105703870.5
845,ala,Central Alameda Unincorporated,Columbia,14361.88268,5454035.567
846,ala,Central Alameda Unincorporated,Forest Av,5687.59307,1905171.397
847,ala,Central Alameda Unincorporated,BART,5833.502566,987796.4073
848,ala,Central Alameda Unincorporated,Sutter Eden,4622.953168,1098464.508
